First_Name,Last_Name,Department,Role,Hire Date,Base Salary,Monthly Sales,Sales Target,Commission Rate,Commission Earned,Customer Rating,Customer Complaints,Employee Satisfaction Score,Manager Name,Sales Performance Status 1,Sales Performance Status 2,Customer Handling Rating 2
Alexis,Lane,IT,IT Support,1/17/2022,113058,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Brian,Hernandez,Sales,Account Manager,8/20/2016,74629,170036,166354,0.036286678,6170.04,3,3,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Ashley,Parker,Finance,Financial Analyst,08/10/2022,62200,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
John,Watson,Sales,Sales Executive,12/07/2018,54034,22451,77351,0.03626974,814.29,4,8,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Scott,Riley,Finance,Accountant,01/02/2021,92293,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Maxwell,Mcfarland,IT,Software Engineer,09/01/2016,112869,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Julie,Butler,Operations,Procurement Specialist,12/29/2015,69664,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Ryan,Ward,HR,HR Coordinator,10/13/2022,76157,,,,,,,67,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Monica,Jackson,IT,Software Engineer,7/27/2019,72285,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Ellen,Stevens,Operations,Procurement Specialist,02/05/2021,84086,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Melanie,Gill,Sales,Account Manager,7/27/2016,57441,173278,58990,0.034973127,6060.07,2,4,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Trevor,Rose,IT,IT Support,7/29/2022,67699,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
David,Wilson,Sales,Sales Manager,6/27/2019,46596,46300,75934,0.047976759,2221.32,4,5,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Chelsea,Rasmussen,Finance,Financial Analyst,12/07/2015,108692,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Paul,Adams,HR,Recruiter,5/16/2023,51789,,,,,,,80,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Austin,Mason,Operations,Logistics Coordinator,1/25/2016,88906,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Crystal,Garrett,HR,HR Coordinator,8/19/2023,52771,,,,,,,79,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Antonio,Serrano,Finance,Financial Analyst,09/03/2015,96097,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Victoria,Harris,IT,IT Support,3/18/2023,103467,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Lauren,Stone,Marketing,Content Strategist,12/05/2021,54528,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Cory,Murray,Finance,Auditor,1/28/2023,56410,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Alyssa,Evans,Sales,Account Manager,5/24/2023,53738,124128,68069,0.062967488,7816.03,4,5,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Nancy,Chase,Finance,Financial Analyst,11/16/2019,56840,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Michael,Meyer,HR,HR Manager,1/15/2020,68339,,,,,,,74,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Mrs. Christine,Anderson,Marketing,Marketing Analyst,9/16/2016,46067,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Thomas,Higgins,Customer Support,Support Specialist,4/26/2020,63403,,,,,1,5,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Catherine,Grant,Customer Support,Call Center Agent,02/01/2017,45944,,,,,2,8,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
April,Cruz,Finance,Accountant,11/09/2020,91725,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Mary,Nicholson,Finance,Accountant,9/27/2022,72936,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
James,Rush,Operations,Logistics Coordinator,9/29/2017,52011,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Sierra,Arroyo,Customer Support,Customer Service Rep,12/25/2019,37131,,,,,2,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Sarah,Hutchinson,Customer Support,Call Center Agent,05/07/2017,36757,,,,,3,2,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
April,Pearson,HR,HR Coordinator,9/24/2016,73276,,,,,,,74,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Anthony Ramirez,Iv,HR,HR Manager,7/28/2021,66038,,,,,,,66,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Timothy,Silva,Sales,Sales Executive,7/16/2023,57072,36547,129067,0.030013518,1096.9,3,6,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Paul,Bartlett,HR,HR Coordinator,5/25/2019,73241,,,,,,,73,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Cynthia,Chandler,Operations,Logistics Coordinator,8/28/2018,69757,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Brooke,Carpenter,Operations,Operations Manager,09/03/2019,85884,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Amanda,Shaw,Sales,Sales Executive,2/26/2016,80767,63608,165730,0.042173743,2682.59,1,5,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Sarah,Hampton,Sales,Sales Executive,8/20/2015,83389,53823,82854,0.040884322,2200.52,3,2,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Joshua,Hill,Marketing,Marketing Analyst,5/30/2022,50430,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Brandon,Bailey,IT,IT Support,01/12/2022,103406,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Brandi,Lane,Customer Support,Customer Service Rep,8/16/2018,47010,,,,,3,1,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Allison,Bradshaw,HR,Recruiter,9/18/2017,91470,,,,,,,75,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
John,Ward,Customer Support,Call Center Agent,10/30/2016,66566,,,,,5,7,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Stephanie,Harris,HR,HR Manager,06/09/2016,79016,,,,,,,97,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Julie,Cole,Marketing,SEO Specialist,10/06/2023,76449,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Michael,Hamilton,Customer Support,Support Specialist,05/01/2017,46576,,,,,3,7,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Jonathon Richardson,Dds,IT,IT Support,09/08/2017,105216,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Joshua,Boyd,Finance,Accountant,1/26/2017,82994,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Lisa,Farrell,IT,Data Analyst,06/04/2016,53620,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Adam,Wall,IT,Data Analyst,09/06/2016,60512,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
James,Grimes,HR,HR Manager,10/28/2023,54175,,,,,,,71,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Timothy,Bell,Customer Support,Support Specialist,5/13/2018,41304,,,,,5,3,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
John,Barber,Finance,Financial Analyst,02/01/2016,101880,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Christopher,Miller,IT,Data Analyst,3/22/2022,71088,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Sarah,Warren,Sales,Account Manager,12/05/2023,86649,56335,111366,0.068189514,3841.46,5,6,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Joseph,Small,Marketing,SEO Specialist,5/14/2017,68331,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Adrian,Williams,Operations,Logistics Coordinator,05/12/2017,70989,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
David,Delacruz,Finance,Accountant,2/13/2015,100027,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Dwayne,Hernandez,Marketing,Marketing Analyst,3/27/2018,53908,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Christopher,Morris,IT,Software Engineer,5/24/2015,72102,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Miss Holly,Mooney,Marketing,Content Strategist,02/09/2019,63361,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Robert,Martin,Marketing,Content Strategist,02/06/2019,65252,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Sandra,Hart,Customer Support,Call Center Agent,1/18/2016,59212,,,,,2,2,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
George,Tucker,Marketing,Content Strategist,3/31/2019,58200,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Pamela,Smith,Customer Support,Customer Service Rep,7/28/2021,43899,,,,,3,3,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Kelly,Ortiz,IT,Software Engineer,12/03/2023,97626,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Brandon,Fisher,IT,IT Support,05/11/2021,112410,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Evan,Oneill,Operations,Operations Manager,3/18/2015,70474,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Misty,Savage,Marketing,SEO Specialist,5/14/2016,64263,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Dylan,Baird,Marketing,SEO Specialist,6/15/2022,45138,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Thomas,Payne,Finance,Accountant,8/14/2016,97073,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Jesus,Jordan,IT,IT Support,06/03/2021,116435,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Brittany,Henry,Marketing,SEO Specialist,09/06/2015,46309,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
John,Roberson,Customer Support,Call Center Agent,05/06/2019,65678,,,,,4,7,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
David,Lee,Marketing,Marketing Analyst,10/29/2016,71983,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Lisa,Nguyen,IT,Data Analyst,6/18/2021,54506,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Kevin,Davis,Finance,Financial Analyst,09/05/2015,79662,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Justin,Craig,Customer Support,Call Center Agent,09/03/2023,49573,,,,,3,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
David,Boyd,IT,Software Engineer,11/06/2019,97289,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Carrie,Jones,Operations,Logistics Coordinator,9/16/2019,102408,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Morgan,Marshall,Customer Support,Call Center Agent,05/05/2021,56532,,,,,4,5,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Dominique,Kane,HR,HR Manager,11/04/2019,53321,,,,,,,70,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Julie,Foster,Finance,Auditor,7/19/2020,64185,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Sara,Taylor,Finance,Financial Analyst,12/19/2021,74497,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Erika,Peterson,Finance,Financial Analyst,5/28/2019,84300,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Lisa,Gomez,IT,IT Support,03/06/2019,109280,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Scott,Foley,HR,HR Manager,10/10/2023,63249,,,,,,,64,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Melissa,Green,Sales,Account Manager,10/20/2015,61857,172575,180195,0.050541925,8722.27,4,0,,Bryan Burnett,Meets Expectations,Meets Expectations,Needs Improvement
Jose,Garrett,Finance,Accountant,4/14/2019,96055,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Natalie,Villa,Customer Support,Support Specialist,7/17/2022,67685,,,,,5,3,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Steven,Meza,Customer Support,Customer Service Rep,07/03/2020,61341,,,,,5,5,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Tristan,Hill,Operations,Operations Manager,8/25/2023,83096,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
David,Patrick,Finance,Auditor,10/04/2017,61478,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Alexander,Freeman,Customer Support,Customer Service Rep,1/19/2022,59262,,,,,4,1,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Chelsea,Thomas,Customer Support,Customer Service Rep,4/14/2017,45598,,,,,1,7,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Tina,Price,IT,Data Analyst,08/11/2022,54197,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Brian,Brewer,IT,Data Analyst,10/04/2021,118044,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Tammy Johnson,Md,HR,Recruiter,4/27/2021,94167,,,,,,,60,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Jose,Young,HR,HR Coordinator,6/23/2019,89022,,,,,,,68,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Zachary,Moses,HR,Recruiter,9/27/2016,59901,,,,,,,93,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Stacy,Burton,IT,IT Support,12/21/2020,117471,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Tracy,Miles,Marketing,Content Strategist,10/29/2020,74008,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Aaron,Wade,HR,Recruiter,2/17/2023,57822,,,,,,,75,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Tammy,Escobar,Marketing,Content Strategist,01/02/2021,47274,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Justin,Jones,Finance,Financial Analyst,4/22/2015,90256,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Charles,Johnson,HR,Recruiter,10/29/2021,65009,,,,,,,93,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Vanessa,Reyes,HR,Recruiter,01/09/2015,92157,,,,,,,60,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Laurie,Howard,Marketing,SEO Specialist,1/23/2022,83994,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Melissa,Lopez,Operations,Operations Manager,02/06/2023,70745,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Allison,Frazier,Customer Support,Call Center Agent,5/20/2022,59674,,,,,1,1,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Susan,Morton,Marketing,SEO Specialist,08/09/2016,78464,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Javier,Harrell,Sales,Sales Manager,06/04/2016,79792,46424,119038,0.055292068,2566.88,5,7,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Katherine,Chapman,Marketing,SEO Specialist,8/29/2020,60481,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Charles,Larson,HR,HR Manager,8/22/2015,60688,,,,,,,79,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Alison,Wilson,IT,Data Analyst,12/22/2023,68907,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Sarah,Kramer,Customer Support,Support Specialist,7/28/2015,46662,,,,,3,9,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Amy,Jackson,Customer Support,Call Center Agent,09/11/2016,67368,,,,,3,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Stephanie,Hendrix,HR,HR Manager,1/26/2018,69640,,,,,,,92,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Dr. Mary,Robinson,Sales,Sales Manager,04/10/2018,86191,166861,142814,0.032791355,5471.6,5,4,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Jasmine,Thomas,HR,HR Coordinator,08/10/2017,76991,,,,,,,92,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
David,Wright,HR,HR Manager,05/08/2021,54027,,,,,,,91,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Kenneth,Brennan,Marketing,Content Strategist,4/17/2022,47892,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Donald,Davis,HR,HR Manager,3/24/2016,93963,,,,,,,63,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Michele,Rodriguez,IT,Software Engineer,11/09/2016,117691,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Keith,Wilson,Customer Support,Call Center Agent,10/10/2019,41174,,,,,2,1,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Timothy,Miller,Customer Support,Support Specialist,11/22/2019,49920,,,,,5,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Micheal,Barker,Operations,Operations Manager,1/22/2015,96236,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Kara,Eaton,Customer Support,Call Center Agent,07/01/2018,44693,,,,,1,0,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Jose,Simmons,Finance,Accountant,12/17/2021,64460,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Frank,Watkins,HR,HR Manager,6/13/2020,63932,,,,,,,88,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Lawrence,Martinez,Sales,Sales Executive,11/17/2016,63167,205105,181637,0.06264526,12848.86,4,2,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Kimberly,Johnson,Sales,Sales Manager,04/03/2017,48210,105873,153905,0.04235371,4484.11,1,8,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Thomas,Gonzalez,HR,HR Coordinator,3/20/2017,62961,,,,,,,76,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Melissa,Estrada,Operations,Logistics Coordinator,10/08/2019,50157,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Cynthia,Ward,Sales,Sales Manager,9/20/2017,48813,123620,112257,0.031011383,3833.63,2,0,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Benjamin,Hanson,Marketing,SEO Specialist,4/30/2022,64833,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Elizabeth,Martin,IT,IT Support,1/13/2020,98171,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Adam,Harper,Operations,Procurement Specialist,03/08/2018,95071,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Emma,Bryant,Customer Support,Customer Service Rep,06/05/2021,67936,,,,,3,3,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Jennifer,Willis,Customer Support,Customer Service Rep,07/01/2019,46997,,,,,5,4,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
David,Spears,IT,Data Analyst,03/05/2017,82536,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Maria,Davidson,HR,Recruiter,09/03/2023,67629,,,,,,,64,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Brian,Elliott,Finance,Accountant,01/06/2017,69882,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Robert,Garza,IT,IT Support,10/29/2017,104360,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Kenneth,Hopkins,Finance,Financial Analyst,6/24/2015,98904,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Deborah,Proctor,IT,Software Engineer,12/30/2015,80738,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Samantha Espinoza,Dds,Operations,Logistics Coordinator,12/15/2020,51311,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
David,Shaw,HR,HR Manager,3/15/2023,61222,,,,,,,82,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Albert,Johnson,HR,Recruiter,8/28/2021,89811,,,,,,,80,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Jessica,Padilla,IT,IT Support,9/24/2017,80669,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Justin,Moore,Marketing,SEO Specialist,9/20/2023,45927,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Kathleen,Compton,Customer Support,Support Specialist,1/13/2017,35393,,,,,2,0,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Alexis,Townsend,IT,Software Engineer,11/20/2018,52763,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Corey,Rowe,Customer Support,Call Center Agent,3/30/2022,41613,,,,,2,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Christopher,Martin,Sales,Account Manager,12/03/2022,79605,184921,69714,0.051908026,9598.88,1,5,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Madeline,Robles,HR,HR Coordinator,7/25/2018,73634,,,,,,,91,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Scott,Baker,Marketing,Content Strategist,4/26/2022,53626,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Dr. Vincent,Price,Sales,Sales Manager,06/12/2017,70279,154666,181001,0.054863972,8485.59,2,5,,Bryan Burnett,Meets Expectations,Meets Expectations,Needs Improvement
Robert,Adams,Finance,Accountant,07/05/2023,84028,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Timothy,Delgado,Customer Support,Support Specialist,10/24/2020,55521,,,,,3,0,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Catherine,King,Marketing,Marketing Analyst,03/10/2018,62885,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Elizabeth,Fletcher,Operations,Operations Manager,4/19/2020,68463,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Jessica,Douglas,IT,Software Engineer,02/09/2018,84440,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Stacey,Zhang,Operations,Logistics Coordinator,12/22/2021,70111,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Traci,Morrow,Sales,Sales Manager,8/16/2020,88568,239529,52295,0.030301754,7258.15,3,8,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Melanie,Gonzalez,Finance,Auditor,6/29/2021,61440,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Tracy,Castaneda,Customer Support,Customer Service Rep,12/26/2023,63572,,,,,4,8,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Robin,Galvan,Operations,Logistics Coordinator,07/07/2017,90201,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Matthew,Wright,Customer Support,Call Center Agent,03/01/2017,47141,,,,,4,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Michael,Alvarez,Customer Support,Customer Service Rep,12/16/2020,45038,,,,,1,4,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Andrew,Harvey,IT,IT Support,11/18/2021,79778,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Kathleen,Barnes,IT,Data Analyst,9/26/2015,104313,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Brian,Diaz,HR,HR Manager,10/09/2015,69309,,,,,,,94,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Elizabeth,Young,Finance,Accountant,02/12/2018,73550,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Kim,Mccormick,Marketing,Content Strategist,3/25/2018,75177,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Andre,Frost,Finance,Accountant,5/21/2019,72405,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
John,Johnson,Operations,Operations Manager,7/28/2021,96708,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Victoria,Martinez,HR,HR Manager,09/04/2021,48194,,,,,,,96,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Morgan,Gallagher,Sales,Sales Manager,7/17/2015,80461,115346,78599,0.051779887,5972.6,4,4,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Christina,Houston,Customer Support,Support Specialist,7/20/2023,59116,,,,,3,8,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Stephanie,Nelson,HR,HR Coordinator,7/31/2018,63333,,,,,,,64,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Robert,Yu,Finance,Financial Analyst,4/24/2019,103472,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Jonathan,Campbell,Marketing,SEO Specialist,11/09/2019,68902,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Thomas,Hammond,HR,HR Coordinator,12/13/2021,88589,,,,,,,68,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Nancy,Thomas,Finance,Accountant,4/14/2016,89818,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Leonard,Roberts,HR,HR Coordinator,4/17/2021,56914,,,,,,,75,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Steven,Mcgrath,Operations,Logistics Coordinator,06/07/2023,58387,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Kendra,Reynolds,IT,Software Engineer,04/12/2018,119966,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Jimmy,Reyes,Sales,Account Manager,3/29/2019,51698,193278,60369,0.040383013,7805.15,5,1,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Angela,Roberts,HR,HR Manager,12/08/2019,62211,,,,,,,76,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Nicholas,Frost,Marketing,SEO Specialist,12/26/2022,61323,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Dominique,Wilson,HR,HR Coordinator,09/04/2023,70459,,,,,,,71,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Megan,Fowler,Customer Support,Customer Service Rep,1/14/2023,50571,,,,,1,2,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
